Name	Category	Effect
Metal Coat icon Metal Coat	Hold items	Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.
Metal Powder icon Metal Powder	Hold items	Increases Defense when held by Ditto.
Metronome icon Metronome	Hold items	Increases the power of moves used consecutively.
Mewnium Z icon Mewnium Z	Hold items	Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova.
Mewtwonite X icon Mewtwonite X	Hold items	Enables Mewtwo to Mega Evolve during battle.
Mewtwonite Y icon Mewtwonite Y	Hold items	Enables Mewtwo to Mega Evolve during battle.
Micle Berry icon Micle Berry	Berries	Increases a move's accuracy when HP is low.
Mighty Candy icon Mighty Candy	Medicine	Increases a Pokémon's Attack stat by 1.
Mighty Candy L icon Mighty Candy L	Medicine	Increases a Pokémon's Attack stat.
Mighty Candy XL icon Mighty Candy XL	Medicine	Increases a Pokémon's Attack stat.
Mild Mint icon Mild Mint	Battle items	Changes the Pokémon's stats to match the Mild nature.
Mimikium Z icon Mimikium Z	Hold items	Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever.
Mimikyu Scrap icon Mimikyu Scrap	General items	Material obtained after defeating/catching Mimikyu, used in TM crafting.
Mind Plate icon Mind Plate	Hold items	Increases power of Psychic-type moves. Changes Arceus' type to Psychic.
Mint Tablecloth icon Mint Tablecloth		A light mint-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.
Miracle Seed icon Miracle Seed	Hold items	Increases the power of Grass-type moves.
Miraidon's Poké Ball icon Miraidon's Poké Ball		A Poké Ball that can hold the mysterious Pokémon known as Miraidon. A boy named Arven gave it to you.
Mirror Herb icon Mirror Herb	Hold items	Copies an opponent's stat increases when consumed.
Misdreavus Tears icon Misdreavus Tears	General items	Material obtained after defeating/catching Misdreavus, used in TM crafting.
Misty Seed icon Misty Seed	Hold items	An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
Mixed Mushrooms icon Mixed Mushrooms	General items	One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.
Modest Mint icon Modest Mint	Battle items	Changes the Pokémon's stats to match the Modest nature.
Monstrous Tablecloth icon Monstrous Tablecloth		A tablecloth designed by the Pewter Museum of Science. The academic air of the pattern is a big hit with kids and adults alike.
Moomoo Cheese icon Moomoo Cheese	General items	One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.
Moomoo Milk icon Moomoo Milk	Medicine	Restores 100 HP.
Moon Ball icon Moon Ball	Pokeballs	A Poké Ball for catching Pokémon that evolve using the Moon Stone.
Moon Stone icon Moon Stone	General items	Evolves certain species of Pokémon.
Mudbray Mud icon Mudbray Mud	General items	Material obtained after defeating/catching Mudbray, used in TM crafting.
Murkrow Bauble icon Murkrow Bauble	General items	Material obtained after defeating/catching Murkrow, used in TM crafting.
Muscle Band icon Muscle Band	Hold items	Increases the power of Physical-category moves.
Muscle Feather icon Muscle Feather	Medicine	Increases Attack EVs by 1.
Muscle Mochi icon Muscle Mochi	Medicine	Increases Attack EVs.
Mushroom Cake icon Mushroom Cake	General items
Mustard icon Mustard		A very spicy condiment that’s indispensable when bread is on the table. It pairs tremendously with ketchup.
Mysterious Shard L icon Mysterious Shard L		A large shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses.
Mysterious Shard S icon Mysterious Shard S		A small shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses.
Mystic Water icon Mystic Water	Hold items	Increases the power of Water-type moves.
Nacli Salt icon Nacli Salt	General items	Material obtained after defeating/catching Nacli, used in TM crafting.
Naive Mint icon Naive Mint	Battle items	Changes the Pokémon's stats to match the Naive nature.
Nanab Berry icon Nanab Berry	Berries	A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee.
Naughty Mint icon Naughty Mint	Battle items	Changes the Pokémon's stats to match the Naughty nature.
Nest Ball icon Nest Ball	Pokeballs	Catches lower level wild Pokémon with a higher rate (up to 4x for level 1).
Net Ball icon Net Ball	Pokeballs	Catches Water- and Bug-type Pokémon with 3.5x the rate of a standard Poké Ball.
Never-Melt Ice icon Never-Melt Ice	Hold items	Increases the power of Ice-type moves.
Noibat Fur icon Noibat Fur	General items	Material obtained after defeating/catching Noibat, used in TM crafting.
Nomel Berry icon Nomel Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Noodles icon Noodles		A nice salty ingredient. It’s unclear how well these boiled noodles will serve as a sandwich filling.
Normal Gem icon Normal Gem	Hold items	Increases the power of a Normal-type move only once.
Normal Tera Shard icon Normal Tera Shard		Changes a Pokémon's Tera Type to Normal.
Normalium Z icon Normalium Z	Hold items	Allows the use of Breakneck Blitz, the Normal type Z-Move.
Nugget icon Nugget	General items	A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
Numel Lava icon Numel Lava	General items	Material obtained after defeating/catching Numel, used in TM crafting.
Nymble Claw icon Nymble Claw	General items	Material obtained after defeating/catching Nymble, used in TM crafting.
Occa Berry icon Occa Berry	Berries	Weakens a supereffective Fire-type attack against the holding Pokémon.
Oceanic Slate icon Oceanic Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Oceanic Room at Ramanas Park.
Odd Incense icon Odd Incense	Hold items	Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.
Odd Keystone icon Odd Keystone	General items	A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
Old Amber icon Old Amber	General items	A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.
Old Gateau icon Old Gateau	Medicine	Heals all major status conditions.
Olive Oil icon Olive Oil		A condiment offering faint notes of sour and bitter flavors. The most prized varieties are the ones Smoliv love the smell of—such oils’ quality is assured.
Onion icon Onion		This spicy veggie is indispensable to many sandwiches. It goes well with rich ingredients.
Oran Berry icon Oran Berry	Berries	If held by a Pokémon, it heals the user by just 10 HP.
Orange Dish icon Orange Dish		A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The orange variety is the most popular of all.
Oranguru Fur icon Oranguru Fur	General items	Material obtained after defeating/catching Oranguru, used in TM crafting.
Oricorio Feather icon Oricorio Feather	General items	Material obtained after defeating/catching Oricorio, used in TM crafting.
Origin Ball icon Origin Ball	Pokeballs
Origin Ore icon Origin Ore	General items
Orthworm Tarnish icon Orthworm Tarnish	General items	Material obtained after defeating/catching Orthworm, used in TM crafting.
Oval Charm icon Oval Charm	General items	An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.
Oval Stone icon Oval Stone	General items	Evolves Happiny when held.
Pachirisu Fur icon Pachirisu Fur	General items	Material obtained after defeating/catching Pachirisu, used in TM crafting.
Pack of Potatoes icon Pack of Potatoes	General items	One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild.
Packaged Curry icon Packaged Curry	General items	One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.
Pamtre Berry icon Pamtre Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Paralyze Heal icon Paralyze Heal	Medicine	Cures a Pokémon of paralysis.
Parasol Pick icon Parasol Pick		Some complain that the parasol part of this pick is hard to hold on to, so your fingers get messy. Still, it’s fun to twirl this all around after you’ve eaten.
Park Ball icon Park Ball	Pokeballs	A special Poké Ball for the Pal Park.
Party Sparkler Pick icon Party Sparkler Pick		This pick features a small sparkler that goes off automatically. It’s used at parties or for guests of honor. It leaves an oddly appealing aroma once it’s burned out.
Pass Orb icon Pass Orb	Hold items	A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.
Passho Berry icon Passho Berry	Berries	Weakens a supereffective Water-type attack against the holding Pokémon.
Passimian Fur icon Passimian Fur	General items	Material obtained after defeating/catching Passimian, used in TM crafting.
Pasta icon Pasta	General items	One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.
Pawmi Fur icon Pawmi Fur	General items	Material obtained after defeating/catching Pawmi, used in TM crafting.
Pawniard Blade icon Pawniard Blade	General items	Material obtained after defeating/catching Pawniard, used in TM crafting.
Payapa Berry icon Payapa Berry	Berries	Weakens a supereffective Psychic-type attack against the holding Pokémon.
Peach Tablecloth icon Peach Tablecloth		A light peach-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.
Peanut Butter icon Peanut Butter		A very sweet condiment. People in Paldea seem to favor the sweet varieties over the unsweetened.
Pearl icon Pearl	General items	A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
Pearl String icon Pearl String	General items	Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
Peat Block icon Peat Block	General items	A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.
Pecha Berry icon Pecha Berry	Berries	If held by a Pokémon, it recovers from poison.
Pep-Up Plant icon Pep-Up Plant	General items
Pepper icon Pepper		A seasoning packing very spicy flavor. It goes nicely with oilier foods and works especially well when you add just a pinch for a hint of flavor.
Permit icon Permit	General items	A permit that is needed to enter the Nature Preserve. Not many know about it.
Persim Berry icon Persim Berry	Berries	If held by a Pokémon, it recovers from confusion.
Petaya Berry icon Petaya Berry	Berries	Raises Special Attack when HP is low.
Petilil Leaf icon Petilil Leaf	General items	Material obtained after defeating/catching Petilil, used in TM crafting.
Pewter Crunchies icon Pewter Crunchies	Medicine	Heals all major status conditions.
Phanpy Nail icon Phanpy Nail	General items	Material obtained after defeating/catching Phanpy, used in TM crafting.
Pichu Fur icon Pichu Fur	General items	Material obtained after defeating/catching Pichu, used in TM crafting.
Pickle icon Pickle		This very sour ingredient is made by pickling veggies in a flavorful brine made from spices and vinegar.
Picnic Set icon Picnic Set		A roomy basket packed with all sorts of things for use when enjoying picnicking with your Pokémon.
Pidgeotite icon Pidgeotite	Hold items	Enables Pidgeot to Mega Evolve during battle.
Pika-Pika Pick icon Pika-Pika Pick		A Pick-achu, as it were, sporting Pikachu’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular.
Pikachu Cup icon Pikachu Cup		A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.
Pikanium Z icon Pikanium Z	Hold items	Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika.
Pikashunium Z icon Pikashunium Z	Hold items	Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt.
Pinap Berry icon Pinap Berry	Berries	A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go.
Pincurchin Spines icon Pincurchin Spines	General items	Material obtained after defeating/catching Pincurchin, used in TM crafting.
Pineapple icon Pineapple		This very tart ingredient is a fruit of southern lands, and its color and texture are a thrill. It’s been cut into chunks to be easily manageable.
Pineco Husk icon Pineco Husk	General items	Material obtained after defeating/catching Pineco, used in TM crafting.
Pink Apricorn icon Pink Apricorn	General items	A pink Apricorn. It has a nice, sweet scent.
Pink Bottle icon Pink Bottle		A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
Pink Cup icon Pink Cup		A cup sold with the Pink Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.
Pink Nectar icon Pink Nectar	Hold items	The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
Pink Scarf icon Pink Scarf	General items	Raises holder's Cute aspect in a Contest.
Pink Tablecloth icon Pink Tablecloth		A simple pink tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.
Pinsirite icon Pinsirite	Hold items	Enables Pinsir to Mega Evolve during battle.
Pixie Plate icon Pixie Plate	Hold items	Increases power of Fairy-type moves. Changes Arceus' type to Fairy.
Plaid Tablecloth (B) icon Plaid Tablecloth (B)		A sturdy tablecloth made of thick fabric. The gentle blue plaid gives a table a crisp look.
Plaid Tablecloth (R) icon Plaid Tablecloth (R)		A sturdy tablecloth made of thick fabric. The quietly composed red plaid gives the table some flair.
Plaid Tablecloth (Y) icon Plaid Tablecloth (Y)		A sturdy tablecloth made of thick fabric. The cheery yellow plaid brightens up a table.
Plasma Card icon Plasma Card	Hold items	A card key needed to enter the password inside the Plasma Frigate.
Plume Fossil icon Plume Fossil	General items	A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.
Plump Beans icon Plump Beans	General items
Poison Barb icon Poison Barb	Hold items	Increases the power of Poison-type moves.
Poison Gem icon Poison Gem	Hold items	Increases the power of a Poison-type move only once.
Poison Memory icon Poison Memory	Hold items	Changes Silvally and its move Multi-Attack to Poison type.
Poison Tera Shard icon Poison Tera Shard		Changes a Pokémon's Tera Type to Poison.
Poisonium Z icon Poisonium Z	Hold items	Allows the use of Acid Downpour, the Poison type Z-Move.
Poké Ball icon Poké Ball	Pokeballs	Catches wild Pokémon.
Poké Doll icon Poké Doll	General items	A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Poké Toy icon Poké Toy	General items	An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Polished Mud Ball icon Polished Mud Ball	General items
Polka-Dot Bottle icon Polka-Dot Bottle		A polka-dot-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.
Polka-Dot Cup icon Polka-Dot Cup		A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.
Polka-Dot Tablecloth icon Polka-Dot Tablecloth		A tablecloth with a fashionable polka-dot pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.
Pomeg Berry icon Pomeg Berry	Berries	Increases Friendship but lowers HP EVs.
Pop Pod icon Pop Pod	General items
Potato Salad icon Potato Salad		This very tart ingredient—a soft salad that’s all about potatoes—pairs tremendously well with bread.
Potato Tortilla icon Potato Tortilla		A very salty ingredient and a popular dish in Paldea. It’s undeniably filling.
Potion icon Potion	Medicine	Restores 20 HP.
Power Anklet icon Power Anklet	Hold items	A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.
Power Band icon Power Band	Hold items	A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.
Power Belt icon Power Belt	Hold items	A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.
Power Bracer icon Power Bracer	Hold items	A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.
Power Herb icon Power Herb	Hold items	A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.
Power Lens icon Power Lens	Hold items	A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.
Power Plant Pass icon Power Plant Pass	Hold items	This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
Power Weight icon Power Weight	Hold items	A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.
PP Max icon PP Max	Medicine	Raises the maximum PP of a move to its maximum.
PP Up icon PP Up	Medicine	Raises the maximum PP of a move.
Precooked Burger icon Precooked Burger	General items	One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger.
Premier Ball icon Premier Ball	Pokeballs	Catches wild Pokémon; received after buying 10 Poké Balls.
Pretty Feather icon Pretty Feather	General items	Can be sold for a high price.
Primarium Z icon Primarium Z	Hold items	Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta.
Prism Scale icon Prism Scale	General items	Evolves Feebas when traded holding the item.
Prison Bottle icon Prison Bottle	Hold items	Transforms Hoopa Confined to Hoopa Unbound.
Prof's Letter icon Prof's Letter	Hold items	A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
Prosciutto icon Prosciutto		This ingredient is very salty like regular ham, but the difference is prosciutto is not cooked after it is cured, giving it a fun freshness.
Protective Pads icon Protective Pads	Hold items	An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
Protector icon Protector	General items	Evolves Rhydon when traded holding the item.
Protein icon Protein	Medicine	Increases Attack EVs by 10.
Psychic Gem icon Psychic Gem	Hold items	Increases the power of a Psychic-type move only once.
Psychic Memory icon Psychic Memory	Hold items	Changes Silvally and its move Multi-Attack to Psychic type.
Psychic Seed icon Psychic Seed	Hold items	An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
Psychic Tera Shard icon Psychic Tera Shard		Changes a Pokémon's Tera Type to Psychic.
Psychium Z icon Psychium Z	Hold items	Allows the use of Shattered Psyche, the Psychic type Z-Move.
Psyduck Down icon Psyduck Down	General items	Material obtained after defeating/catching Psyduck, used in TM crafting.
Punching Glove icon Punching Glove		An item to be held by a Pokémon. This protective glove boosts the power of the holder’s punching moves and prevents direct contact with targets.
Pungent Root icon Pungent Root	General items	One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish.
Pure Incense icon Pure Incense	Hold items	Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.
Purple Nectar icon Purple Nectar	Hold items	A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
Qualot Berry icon Qualot Berry	Berries	Increases Friendship but lowers Defense EVs.
Quick Ball icon Quick Ball	Pokeballs	Catches wild Pokémon with a higher rate (5x) on the first turn of a battle.
Quick Candy icon Quick Candy	Medicine	Increases a Pokémon's Speed stat by 1.
Quick Candy L icon Quick Candy L	Medicine	Increases a Pokémon's Speed stat.
Quick Candy XL icon Quick Candy XL	Medicine	Increases a Pokémon's Speed stat.
Quick Claw icon Quick Claw	Hold items	An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.
Quick Powder icon Quick Powder	Hold items	Increases Speed when held by Ditto.
Quiet Mint icon Quiet Mint	Battle items	Changes the Pokémon's stats to match the Quiet nature.
Qwilfish Spines icon Qwilfish Spines	General items	Material obtained after defeating/catching Qwilfish, used in TM crafting.
Rabuta Berry icon Rabuta Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Rage Candy Bar icon Rage Candy Bar	Medicine	Heals all major status conditions.
Rainbow Slate icon Rainbow Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Rainbow Room at Ramanas Park.
Ralts Dust icon Ralts Dust	General items	Material obtained after defeating/catching Ralts, used in TM crafting.
Rare Bone icon Rare Bone	General items	A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.
Rare Candy icon Rare Candy	Medicine	Raises a Pokémon's level by 1.
Rash Mint icon Rash Mint	Battle items	Changes the Pokémon's stats to match the Rash nature.
Rawst Berry icon Rawst Berry	Berries	If held by a Pokémon, it recovers from a burn.
Razor Claw icon Razor Claw	Hold items	Increases critical-hit ratio. Evolves Sneasel when held at night.
Razor Fang icon Razor Fang	Hold items	May cause opponent to flinch. Evolves Gligar when held at night.
Razz Berry icon Razz Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Reaper Cloth icon Reaper Cloth	General items	Evolves Dusclops when traded holding the item.
Red Apricorn icon Red Apricorn	General items	A red Apricorn. It assails your nostrils.
Red Bell Pepper icon Red Bell Pepper		An ingredient with some bitterness—but its bitter notes and overall flavor are pleasantly mild compared to its green cousin.
Red Card icon Red Card	Hold items	A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.
Red Dish icon Red Dish		A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The red variety never fails to sell well.
Red Flute icon Red Flute	General items	A toy flute made from red glass. A maniac will buy it for a high price.
Red Nectar icon Red Nectar	Hold items	A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.
Red Onion icon Red Onion		An ingredient with some sweetness to it. Its spiciness and fragrance are milder than those of other onions, making it a pleasant bite.
Red Poké Ball Pick icon Red Poké Ball Pick		A sandwich pick with a simple red Poké Ball design. Often used by Trainers who picked a Fire-type Pokémon for their first partner.
Red Scarf icon Red Scarf	General items	Raises holder's Cool aspect in a Contest.
Red Shard icon Red Shard	General items	A small red shard. It appears to be from some sort of implement made long ago.
Red-Flag Pick icon Red-Flag Pick		This pick flies a red flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind.
Relaxed Mint icon Relaxed Mint	Battle items	Changes the Pokémon's stats to match the Relaxed nature.
Relic Band icon Relic Band	General items	A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Copper icon Relic Copper	General items	A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Crown icon Relic Crown	General items	A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Gold icon Relic Gold	General items	A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Silver icon Relic Silver	General items	A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Statue icon Relic Statue	General items	A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Vase icon Relic Vase	General items	A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Rellor Mud icon Rellor Mud	General items	Material obtained after defeating/catching Rellor, used in TM crafting.
Remedy icon Remedy	Medicine
Repeat Ball icon Repeat Ball	Pokeballs	Catches Pokémon already registered in the Pokédex with 3.5x the rate of a standard Poké Ball.
Repel icon Repel	General items	An item that prevents weak wild Pokémon from appearing for 100 steps after its use.
Reset Urge icon Reset Urge	Battle items	When used, it restores any stat changes of an ally Pokémon.
Resist Feather icon Resist Feather	Medicine	Increases Defense EVs by 1.
Resist Mochi icon Resist Mochi	Medicine	Increases Defense EVs.
Reveal Glass icon Reveal Glass	General items	A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.
Revival Herb icon Revival Herb	Medicine	Revives a Pokémon to max HP, but lowers Friendship.
Revive icon Revive	Medicine	Revives a fainted Pokémon, restoring half its HP.
Ribbon Sweet icon Ribbon Sweet	Hold items	Evolves Milcery into Ribbon Flavor Alcremie.
Rice icon Rice		An ingredient with a touch of sweetness. It’s unclear how well this cooked rice will serve as a sandwich filling.
Rindo Berry icon Rindo Berry	Berries	Weakens a supereffective Grass-type attack against the holding Pokémon.
Ring Target icon Ring Target	Hold items	Moves that would otherwise have no effect will land on the Pokémon that holds it.
Riolu Fur icon Riolu Fur	General items	Material obtained after defeating/catching Riolu, used in TM crafting.
Rock Gem icon Rock Gem	Hold items	Increases the power of a Rock-type move only once.
Rock Incense icon Rock Incense	Hold items	Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.
Rock Memory icon Rock Memory	Hold items	Changes Silvally and its move Multi-Attack to Rock type.
Rock Tera Shard icon Rock Tera Shard		Changes a Pokémon's Tera Type to Rock.
Rockium Z icon Rockium Z	Hold items	Allows the use of Continental Crush, the Rock type Z-Move.
Rockruff Rock icon Rockruff Rock	General items	Material obtained after defeating/catching Rockruff, used in TM crafting.
Rocky Helmet icon Rocky Helmet	Hold items	If the holder of this item takes damage, the attacker will also be damaged upon contact.
Roller Skates icon Roller Skates	General items	Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.
Rolycoly Coal icon Rolycoly Coal	General items	Material obtained after defeating/catching Rolycoly, used in TM crafting.
Rookidee Feather icon Rookidee Feather	General items	Material obtained after defeating/catching Rookidee, used in TM crafting.
Room Service icon Room Service	Hold items	Lowers the Pokémon's speed during Trick Room.
Root Fossil icon Root Fossil	General items	A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.
Rose Incense icon Rose Incense	Hold items	Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.
Roseli Berry icon Roseli Berry	Berries	If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack.
Roto Bargain icon Roto Bargain	Battle items	Reduces the prices of products at Poké Marts by half.
Roto Boost icon Roto Boost	Battle items	Raises all stats of your battling Pokémon.
Roto Catch icon Roto Catch	Battle items	Increases the chance to catch Pokémon a lot.
Roto Encounter icon Roto Encounter	Battle items	Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.
Roto Exp. Points icon Roto Exp. Points	Battle items	Increases the Exp. Points your Pokémon receive after battle a little.
Roto Friendship icon Roto Friendship	Battle items	Helps Pokémon in your party grow friendly faster.
Roto Hatch icon Roto Hatch	Battle items	Helps Eggs hatch faster.
Roto HP Restore icon Roto HP Restore	Battle items	Fully restores the HP of your battling Pokémon.
Roto PP Restore icon Roto PP Restore	Battle items	Fully restores the PP of your battling Pokémon.
Roto Prize Money icon Roto Prize Money	Battle items	Triples the prize money you receive after battle.
Roto Stealth icon Roto Stealth	Battle items	Prevents you from encountering wild Pokémon for a certain period of time.
Rotom Phone icon Rotom Phone		The latest model of smartphone. A Pokémon called Rotom lives within it, and it can be used to run all sorts of handy apps.
Rotom Sparks icon Rotom Sparks	General items	Material obtained after defeating/catching Rotom, used in TM crafting.
Rowap Berry icon Rowap Berry	Berries	If held by a Pokémon and a special attack lands, the attacker also takes damage.
Rufflet Feather icon Rufflet Feather	General items	Material obtained after defeating/catching Rufflet, used in TM crafting.
Sablenite icon Sablenite	Hold items	Enables Sableye to Mega Evolve during battle.
Sableye Gem icon Sableye Gem	General items	Material obtained after defeating/catching Sableye, used in TM crafting.
Sachet icon Sachet	General items	Evolves Spritzee when traded holding the item.
Sacred Ash icon Sacred Ash	Medicine	Revives all fainted Pokémon and fully restores their HP.
Safari Ball icon Safari Ball	Pokeballs	Catches Pokémon in the Safari Zone or Great Marsh.
Safety Goggles icon Safety Goggles	Hold items	Prevents damage from weather and powder.
Salac Berry icon Salac Berry	Berries	Raises Speed when HP is low.
Salad Mix icon Salad Mix	General items	One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.
Salamencite icon Salamencite	Hold items	Enables Salamence to Mega Evolve during battle.
Salandit Gas icon Salandit Gas	General items	Material obtained after defeating/catching Salandit, used in TM crafting.
Salt icon Salt		A very salty seasoning, unsurprisingly. People quite like the grains of salt that can be gathered from the footprints of particularly jagged Naclstack.
Salt Cake icon Salt Cake	General items
Salty Herba Mystica icon Salty Herba Mystica		One of the condiments spoken of as legends. Its mellow saltiness is said to be tremendously effective when it comes to promoting health.
Sand Radish icon Sand Radish	General items
Sandile Claw icon Sandile Claw	General items	Material obtained after defeating/catching Sandile, used in TM crafting.
Sandwich icon Sandwich		A dish made by sandwiching vegetables, meat, or other ingredients between two pieces of bread. It makes a fantastic meal when out on a picnic.
Sandygast Sand icon Sandygast Sand	General items	Material obtained after defeating/catching Sandygast, used in TM crafting.
Sassy Mint icon Sassy Mint	Battle items	Changes the Pokémon's stats to match the Sassy nature.
Sausages icon Sausages	General items	One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.
Scarlet Book icon Scarlet Book		A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Sada” written on it in clumsy handwriting.
Scatter Bang icon Scatter Bang	General items
Scatterbug Powder icon Scatterbug Powder	General items	Material obtained after defeating/catching Scatterbug, used in TM crafting.
Sceptilite icon Sceptilite	Hold items	Enables Sceptile to Mega Evolve during battle.
Scizorite icon Scizorite	Hold items	Enables Scizor to Mega Evolve during battle.
Scope Lens icon Scope Lens	Hold items	Increases critical-hit ratio.
Scroll of Darkness icon Scroll of Darkness		A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of darkness.
Scroll of Waters icon Scroll of Waters		A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of water.
Scyther Claw icon Scyther Claw	General items	Material obtained after defeating/catching Scyther, used in TM crafting.
Sea Incense icon Sea Incense	Hold items	Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.
Seed of Mastery icon Seed of Mastery	General items
Serious Mint icon Serious Mint	Battle items	Changes the Pokémon's stats to match a neutral nature.
Seviper Fang icon Seviper Fang	General items	Material obtained after defeating/catching Seviper, used in TM crafting.
